"","id","fullName","link","career_goals","career_points","career_PIM"
"331",8446458,"Harry Foster","/api/v1/people/8446458",3,5,38
"332",8446607,"Leroy Goldsworthy","/api/v1/people/8446607",66,123,81
"333",8446843,"Orville Heximer","/api/v1/people/8446843",13,20,16
"334",8448237,"Leo Quenneville","/api/v1/people/8448237",0,3,10
"335",8448298,"Bill Regan","/api/v1/people/8448298",3,5,69
"336",8446924,"Syd Howe","/api/v1/people/8446924",237,529,214
"337",8447012,"Bill Hutton","/api/v1/people/8447012",3,4,6
"338",8447183,"Wally Kilrea","/api/v1/people/8447183",35,93,91
"339",8449160,"Harold Starr","/api/v1/people/8449160",5,9,189
"340",8445029,"Cliff Barton","/api/v1/people/8445029",10,21,25
"341",8447050,"James Jarvis","/api/v1/people/8447050",17,32,64
"342",8447602,"Rennison Manners","/api/v1/people/8447602",3,6,14
"343",8450117,"Red Spooner","/api/v1/people/8450117",NA,NA,NA
"344",8449218,"Bob Taylor","/api/v1/people/8449218",0,0,4
"345",8446612,"Ebbie Goodfellow","/api/v1/people/8446612",135,326,511
"346",8446966,"James Hughes","/api/v1/people/8446966",0,1,60
"347",8447638,"Joe Matte","/api/v1/people/8447638",0,3,8
"348",8447654,"Stan McCabe","/api/v1/people/8447654",9,14,49
"349",8448428,"Harvey Rockburn","/api/v1/people/8448428",4,7,264
"350",8449821,"Bill Beveridge","/api/v1/people/8449821",NA,NA,NA
"351",8448346,"Gus Rivers","/api/v1/people/8448346",4,9,10
"352",8450050,"Mickey Murray","/api/v1/people/8450050",NA,NA,NA
"353",8445234,"Gord Brydson","/api/v1/people/8445234",2,2,8
"354",8445512,"Charlie Conacher","/api/v1/people/8445512",224,396,523
"355",8447025,"Busher Jackson","/api/v1/people/8447025",241,475,450
"356",8448140,"Bill Phillips","/api/v1/people/8448140",1,2,6
"357",8449467,"Archie Wilcox","/api/v1/people/8449467",8,22,160
"358",8449858,"Abbie Cox","/api/v1/people/8449858",NA,NA,NA
"359",8445284,"Roy Burmister","/api/v1/people/8445284",4,7,0
"360",8447634,"George Massecar","/api/v1/people/8447634",12,23,46
"361",8445885,"Vic Desjardins","/api/v1/people/8445885",6,21,33
"362",8447052,"Roger Jenkins","/api/v1/people/8447052",15,56,253
"363",8448440,"Doc Romnes","/api/v1/people/8448440",67,204,40
"364",8449306,"Ed Vokes","/api/v1/people/8449306",0,0,0
"365",8445806,"Jimmy Creighton","/api/v1/people/8445806",1,1,2
"366",8446182,"Stewart Evans","/api/v1/people/8446182",28,77,427
"367",8446245,"Tommy Filmore","/api/v1/people/8446245",16,29,33
"368",8447780,"Bert McInenly","/api/v1/people/8447780",19,34,144
"369",8448004,"John Newman","/api/v1/people/8448004",1,2,2
"370",8449128,"John Sorrell","/api/v1/people/8449128",127,247,100
"371",8449177,"Frank Steele","/api/v1/people/8449177",0,0,2
"372",8445334,"Gene Carrigan","/api/v1/people/8445334",2,3,13
"373",8445908,"Cecil Dillon","/api/v1/people/8445908",167,298,112
"374",8447056,"Joe Jerwa","/api/v1/people/8447056",29,87,311
"375",8447167,"Ernest Kenny","/api/v1/people/8447167",0,0,8
"376",8447607,"Bud Maracle","/api/v1/people/8447607",1,4,4
"377",8447646,"Sam McAdam","/api/v1/people/8447646",0,0,0
"378",8448134,"Frank Peters","/api/v1/people/8448134",0,0,57
"379",8449309,"Deacon Waite","/api/v1/people/8449309",1,4,4
"380",8447198,"Ray Kinsella","/api/v1/people/8447198",0,0,0
"381",8444850,"Henry Harris","/api/v1/people/8444850",2,6,20
"382",8445037,"Red Beattie","/api/v1/people/8445037",62,147,134
"383",8445362,"Art Chapman","/api/v1/people/8445362",62,238,136
"384",8447534,"Ron Lyons","/api/v1/people/8447534",2,6,23
"385",8448188,"Jack Pratt","/api/v1/people/8448188",2,2,42
"386",8448605,"Paul Runge","/api/v1/people/8448605",18,40,57
"387",8445741,"D'arcy Coulson","/api/v1/people/8445741",0,0,103
"388",8445818,"Stan Crossett","/api/v1/people/8445818",0,0,10
"389",8449861,"Wilf Cude","/api/v1/people/8449861",NA,NA,NA
"390",8446553,"Johnny Gagnon","/api/v1/people/8446553",121,264,297
"391",8448233,"Jean Pusie","/api/v1/people/8448233",1,5,28
"392",8446628,"Bob Gracie","/api/v1/people/8446628",82,192,203
"393",8446674,"Herb Hamel","/api/v1/people/8446674",0,0,4
"394",8446931,"Rolly Huard","/api/v1/people/8446931",1,1,0
"395",8447473,"Alex Levinsky","/api/v1/people/8447473",19,68,307
"396",8445233,"Glenn Brydson","/api/v1/people/8445233",54,133,209
"397",8446559,"John Gallagher","/api/v1/people/8446559",14,32,151
"398",8446753,"Paul Haynes","/api/v1/people/8446753",61,194,164
"399",8446946,"Al Huggins","/api/v1/people/8446946",1,2,0
"400",8447828,"Jack McVicar","/api/v1/people/8447828",2,6,59
"401",8448383,"Earl Roche","/api/v1/people/8448383",25,52,48
"402",8448421,"Des Roche","/api/v1/people/8448421",20,38,54
"403",8450009,"Dave Kerr","/api/v1/people/8450009",NA,NA,NA
